"10022870","Connector:Conn_01x03_Female","Connector:Conn_01x03_Female","AllModules:MOL41815-03_1","","CONNECTOR KK PC BOARD, 3 CIRCUITS, 3.96MM, 5A, 250V","AC","J4","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","MOLEX_RMS1","9482033","~"
"10022871","Connector:Conn_01x10_Male","Connector:Conn_01x10_Male","AllModules:EPG-1B-306-HLN_1","","IC SOCKET CONNECTOR SIZE 1, 6 CIRCUITS, 4.5 A","EXT DC","J5","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","LEMO                            (019850)","EPG.1B.306.HLN","~"
"10022872","Connector:Conn_01x02_Male","Connector:Conn_01x02_Male","AllModules:MOL6410-2_1","","CONNECTOR HEADER, 2 CIRCUITS, 2.54MM, 4A, 250V","FAN","J6","../../10005011 Power Management/10005011 Connectors-FAN.sch","MOLEX_RMS1","22-27-2021","~"
"10022874","Connector:Conn_01x04_Male","Connector:Conn_01x04_Male","AllModules:MOL43650-02D_1","","CONNECTOR MICRO-FIT, 2 CIRCUITS,3MM,5A,250V","TURBINE","J9","../../10005011 Power Management/10005011 Connectors-FAN.sch","MOLEX_RMS1","43650-0224","~"
"10022875","Connector:Conn_01x10_Female","Connector:Conn_01x10_Female","AllModules:BARRET2X5F_1","","CONNECTOR FEMALE,2.54MM SPACING,8.5MM +/-0.15","BATTERY","J10","../../10005011 Power Management/10005011 Connectors-FAN.sch","HARWIN                          (012775)","M20-7830546","~"
"10022876","10005011_Power_Management:USB_A_4shield","Connector:USB_A_4shield","AllModules:MOL47500-0001_1","","CONNECTOR USB A","USB_A","J12,J13","../../10005011 Power Management/10005011 USB HOST.sch","MOLEX_RMS1","67329-8001","https://www.molex.com/pdm_docs/sd/673298001_sd.pdf"
"10022877","Connector:Conn_01x06_Male","Connector:Conn_01x06_Male","AllModules:B4BZR-SM3TF_1","","ZH RIGHT CONNECTOR PINS 4 / 1.5 MM 1A/50V","EEPROM LOADER","J14","../../10005011 Power Management/10005011 USB HOST.sch","J.S.T. CORPORATION","B4B-ZR-SM4-TF (LF)(SN)","~"
"10022878","Device:Fuse","Fuse:Fuse","AllModules:FU-0031.8221_1","","FUSE HOLDER 5X20","10A","F1","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","SCHURTER","0031.8225","http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_OGN-SMD.pdf"
"10022882","10005011_Power_Management:2N7002","Transistor:2N7002","AllModules:SOT23-GSD_1","","TRANSISTOR MOSFET N CHANNEL 60V, 0.18A","2N7002","T7,T8,T12,T13,T17,T18,T28,T30","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","ON SEMICONDUCTOR_RMS1","2N7002LT1G","https://www.fairchildsemi.com/datasheets/2N/2N7002.pdf"
"10022883","10005011_Power_Management:SI7884BDP","Transistor:SI7884BDP","AllModules:SO08-PPAD_SI7884_1","","MOSFET TRANS N CHANNEL,40V,47A,0.0095 OHM, PPAK SO8","SI7884BDP","T19,T20,T21,T22","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","VISHAY_RMS1","SI7848BDP-T1-E3","http://www.vishay.com/docs/68395/si7884bd.pdf"
"10022886","Comparator:LM393","IC:LM393","AllModules:MX.A8_COMPOSANT_1","","DUAL DIFFERENTIAL COMPARATOR, SOIC8","LM393D","IC1","../../10005011 Power Management/10005011 PIC-Micro.sch","TEXAS INSTRUMENTS_RMS1","LM393D","http://www.ti.com/lit/ds/symlink/lm393-n.pdf"
"10022887","74xGxx:74AHC1G08","IC:74AHC1G08","AllModules:SOT23-5_1","","SINGLE 2 INPUT POSITIVE AND GATE, SOT23","SN74AHC1G08","IC2","../../10005011 Power Management/10005011 USB HOST.sch","TEXAS INSTRUMENTS_RMS1","SN74AHC1G08DBVR","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"10022888","10005011_Power_Management:PIC18F6622","IC:PIC18F6622","AllModules:TQFP64_1","","MICROCON,8 BIT, FLASH 64K,RAM3966 BYTES,TQFP64","PIC18F6622","IC3","../../10005011 Power Management/10005011 PIC-Micro.sch","MICROCHIP TECHNOLOGY_RMS1","PIC18F6622-I/PT","http://ww1.microchip.com/downloads/en/DeviceDoc/39646c.pdf"
"10022889","Interface_USB:FT2232D","IC:FT2232D","AllModules:LQFP48-PAD0.28X1.2_1","","USB/UART, LQFP","FT2232","IC4","../../10005011 Power Management/10005011 FTDI.sch","FTDI_RMS1","FT2232D-REEL","http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232D.pdf"
"10022890","10005011_Power_Management:DS2480B","IC:DS2480B","AllModules:MX.A8_COMPOSANT_1","","IC, SERIAL TO 1-WIRE DRIVER, SOIC8","DS2480B","IC5","../../10005011 Power Management/10005011 PIC-Micro.sch","MAXIM_RMS1","DS2480B+T&R","https://datasheets.maximintegrated.com/en/ds/DS2480B.pdf"
"10022891","10005011_Power_Management:INA170","IC:INA170","AllModules:uSO08_1","","IC,CURRENT SHUNT MONITOR,MSOP","INA170","IC7","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","TEXAS INSTRUMENTS_RMS1","INA170EA/2K5","https://www.ti.com/lit/ds/symlink/ina170.pdf"
"10022892","Regulator_Linear:LF33_TO252","IC:LF33_TO252","AllModules:DPAK_1b","","REGULATOR 3.3 V 2% 500MA LOW DROPOUT,DPACK","LF33CDT","IC8","../../10005011 Power Management/10005011 FTDI.sch","ST MICROELECTRONIC","LF33CDT","http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf"
"10022893","10005011_Power_Management:LT1620CMS8","IC:LT1620CMS8","AllModules:uSO08_1","","IC,CURRENT AMPLIFIER,MSOP","LT1620CMS8","IC9,IC14","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","LINEAR TECHNOLOGY_RMS1","LT1620CMS8#TRPBF","https://www.analog.com/media/en/technical-documentation/data-sheets/16201f.pdf"
"10022894","10005011_Power_Management:LTC3780","IC:LTC3780","AllModules:SSOP24_1","","IC,SYNCHRONOUS CONTROLLER,SSOP","LTC3780","IC10","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","LINEAR TECHNOLOGY_RMS1","LTC3780IG#TRPBF","https://www.analog.com/media/en/technical-documentation/data-sheets/LTC3780.pdf"
"10022895","Regulator_Switching:TPS5430DDA","IC:TPS5430DDA","AllModules:SO08-PPAD_COMPOSANT_1","","REGULATOR, 5.5V TO 36V,3A HSOP8","TPS5430DDA","IC11","../../10005011 Power Management/10005011 FTDI.sch","TEXAS INSTRUMENTS_RMS1","TPS5430DDA","http://www.ti.com/lit/ds/symlink/tps5430.pdf"
"10022896","10005011_Power_Management:LM4120AIM5-3.0","IC:LM4120AIM5-3.0","AllModules:SOT23-5_1","","IC,VOLTAGE REFERENCE,5MA,3V +/-2%,SOT23","LM4120AIM5-3.0","IC12","../../10005011 Power Management/10005011 FTDI.sch","NATIONAL SEMICONDUCTOR_RMS1","LM4120AIM5-3.0/NOPB","http://www.ti.com/lit/ds/symlink/lm4120.pdf"
"10022897","10005011_Power_Management:LTC1435CS","IC:LTC1435CS","AllModules:SSOP16_1","","IC,SWITCHING REGULATOR,SSOP","LTC1435CS","IC13","../../10005011 Power Management/10005011 Const-I-Gen.sch","LINEAR TECHNOLOGY_RMS1","LTC1435IG#TRPBF","https://www.analog.com/media/en/technical-documentation/data-sheets/1435f.pdf"
"10022898","10005011_Power_Management:CY7C67300-100AXI","IC:CY7C67300-100AXI","AllModules:TQFP100_1","","IC,MICROCONTROLLER,TQFP100","CY7C67300-100AXI","IC15","../../10005011 Power Management/10005011 USB HOST.sch","CYPRESS SEMICONDUCTOR CORPORATION","CY7C67300-100AXI","https://www.cypress.com/file/39146/download"
"10022899","10005011_Power_Management:CY7C1021DV33","IC:CY7C1021DV33","AllModules:TSOP2-44_1","","IC,RAM,3V3,64KX16,10NS,TSOP","CY7C1021CV33","IC16","../../10005011 Power Management/10005011 USB HOST.sch","CYPRESS SEMICONDUCTOR CORPORATION","CY7C1021DV33-10ZSXI","https://www.cypress.com/file/38801/download"
"10022900","Memory_EEPROM:24LC512","IC:24LC512","AllModules:MX.A8M_1","","IC,EEPROM,2.5V-5.5V,12C SERIES, 64KBYTES, SOIC8","24LC512","IC17","../../10005011 Power Management/10005011 USB HOST.sch","MICROCHIP TECHNOLOGY_RMS1","24LC512-I/SM","http://ww1.microchip.com/downloads/en/DeviceDoc/21754M.pdf"
"10022901","10005011_Power_Management:SN74LVC2T45","IC:SN74LVC2T45","AllModules:uSO08_1","","IC,NON INVERTING BUS TRANSCEIVER,MSOP","SN74LVC2T45","IC18,IC19,IC20","../../10005011 Power Management/10005011 USB HOST.sch","TEXAS INSTRUMENTS_RMS1","SN74LVC2T45DCTR","http://www.ti.com/lit/ds/symlink/sn74lvc2t45.pdf"
"10022902","10005011_Power_Management:LT1716IS5","IC:LT1716IS5","AllModules:SOT23-5_1","","IC,RAIL TO RAIL COMPARATOR, 44V, SOT23","LT1716IS5","IC21,IC22","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","LINEAR TECHNOLOGY_RMS1","LT1716IS5#TRPBF","https://www.analog.com/media/en/technical-documentation/data-sheets/LT1716.pdf"
"10022903","10005011_Power_Management:LM4040DIM3-5.0","IC:LM4040DIM3-5.0","AllModules:SOT23-1G_1","","IC,VOLTAGE REFERENCE,SHUNT, 5V,SOT23","LM4040DIM3-5.0","IC23,IC24","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","NATIONAL SEMICONDUCTOR_RMS1","LM4040DIM3-5.0","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf"
"10022904","Regulator_Linear:LM78M05_TO252","IC:LM78M05_TO252","AllModules:DPAK_1b","","IC,REGULATOR, 24V +/-4%, 500MA, DPACK","L78M24CDT","IC25","../../10005011 Power Management/10005011 Connectors-FAN.sch","ST MICROELECTRONIC","L78M24CDT-TR","https://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf"
"10022905","10005011_Power_Management:NC7SZ66","IC:NC7SZ66","AllModules:SC70-5_1","","IC,BUS SWITCH,SC70","NC7SZ66","IC26,IC27","../../10005011 Power Management/10005011 FTDI.sch","FAIRCHILD SEMICONDUCTOR_RMS1","NC7SZ66P5X","https://www.onsemi.com/pub/Collateral/NC7SZ66-D.pdf"
"10022906","Regulator_Linear:L7805","IC:L7805","AllModules:DPAK_1b","","IC,VOLTAGE REGULATOR,5V +/-4%,500MA, DPACK","L78M05CDT","IC28","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","ST MICROELECTRONIC","L78M05CDT-TR","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"10022907","Device:Ferrite_Bead_Small","Inductor:Ferrite_Bead_Small_10022907","AllModules:C0603_1","","SMD FERRITE 200MA","74279266","L6,L15,L16,L17,L18,L19,L20,L21,L22,L23,L43,L44,L45,L46,L47,L48,L49,L50","../../10005011 Power Management/10005011 Connectors-FAN.sch","WURTH ELEKTRONIK GMBH","74279266","https://katalog.we-online.de/pbs/datasheet/74279266.pdf"
"10022908","Device:L","Inductor:L","AllModules:WE-PD4_1","","INDUCTOR,33UH +/-10%","33uH","L2","../../10005011 Power Management/10005011 FTDI.sch","WURTH ELEKTRONIK GMBH","74456133","https://katalog.we-online.com/pbs/datasheet/74456133.pdf"
"10022910","Device:L_Core_Iron","Inductor:L_Core_Iron_10022910","AllModules:WEPD4-S_1","","INDUCTOR, MINIATURE, 220UH, 220MA,WE-TPC","220uH","L4","../../10005011 Power Management/10005011 Connectors-FAN.sch","WURTH ELEKTRONIK GMBH","74455222","~"
"10022911","Device:Ferrite_Bead_Small","Inductor:Ferrite_Bead_Small_10022911","AllModules:RC1206_1","","SMD FERRITE, 1A,1206","74279218","L5,L61","../../10005011 Power Management/10005011 Connectors-FAN.sch","WURTH ELEKTRONIK GMBH","74279218","https://katalog.we-online.de/pbs/datasheet/74279218.pdf"
"10022912","Device:L_Core_Iron","Inductor:L_Core_Iron_10022912","AllModules:WEPD-XXL_1","","INDUCTOR, 47UH +/-20%,3.8A,WE-PD-XXL","47uH","L12","../../10005011 Power Management/10005011 Const-I-Gen.sch","WURTH ELEKTRONIK GMBH","7447709470","~"
"10022913","Device:L_Core_Iron","Inductor:L_Core_Iron_10022913","AllModules:C1210_1","","INDUCTOR,470NH,450MA +/-20%,C1206","470nH","L13,L14","../../10005011 Power Management/10005011 USB HOST.sch","WURTH ELEKTRONIK GMBH","744764004","~"
"10022922","Device:Crystal_GND2","Crystal:Crystal_GND2","AllModules:CSTCR_1","","IC,RESONATOR, 6MHZ +/-0.5%,CMS","6 MHz","Q1","../../10005011 Power Management/10005011 FTDI.sch","MURATA MANUFACTURING CO., LTD.","CSTCR6M00G53-R0","https://www.murata.com/products/productdata/8801051869214/SPEC-CSTCR6M00G53-R0.pdf"
"10022923","Device:Crystal","Crystal:Crystal","AllModules:HC49-4HSMX_1","","CRYSTAL,QUARTZ, 12MHZ","12MHz","Q3","../../10005011 Power Management/10005011 USB HOST.sch","JAUSCH","J49SML-P-G-G-K-12M0","~"
"10022924","Connector:TestPoint","Jumper:TestPoint","AllModules:C12000_1","","TEST POINT","TestPoint","PT1","../../10005011 Power Management/10005011 Connectors-FAN.sch","NICOMATIC_RMS1","C12000B","~"
"10022926","Device:Varistor","Varistor:Varistor_10022926","AllModules:R0603_1","","SMD VARISTOR, 5.5V,C0603","B72500T0040M060","ML1,ML2,ML3,ML6,ML8","../../10005011 Power Management/10005011 FTDI.sch","EPCOS_RMS1","B72500T0040M060","https://www.tdk-electronics.tdk.com/inf/75/db/CTVS_14/Standard_series.pdf"
"10022927","Device:Varistor","Varistor:Varistor_10022927","AllModules:RC1206_1","","VARISTOR, CMS PROTECTION, 30VRMS, 38 VDC, 1206,","Varistor","ML4","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","EPCOS_RMS1","B72520T0300K062","~"
"10022928","Device:Polyfuse","Fuse:Polyfuse","AllModules:C1812_1","","RESETTABLE FUSE, 1.1A,C1812","MS-MSMF110","PCT1","../../10005011 Power Management/10005011 USB HOST.sch","BOURNS_RMS1","MF-MSMF-110-2","https://www.bourns.com/docs/Product-Datasheets/mfmsmf.pdf"
"10022929","Device:Thermistor_NTC","CT:Thermistor_NTC","AllModules:K164_1","","THERMISTOR, 10K OHM, B4300. +/-5%","B57164K103J","CT1","../../10005011 Power Management/10005011 PIC-Micro.sch","EPCOS_RMS1","B57164K103J","https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Leaded_disks_K164.pdf"
"10022930","10005011_Power_Management:CMF2","Switch:CMF2","AllModules:CMF1_1","","SWITCH SOCKET 2 POLES","CMF2","SW1","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","SCHURTER","CMF2.1011.12","https://www.schurter.com/en/datasheet/typ_CMF2__CMF5.pdf"
"10022931","10005011_Power_Management:MCDM(R)-02-T","Switch:MCDM(R)-02-T","AllModules:MCDMR-02T_1","","DIL SWITCH, 2 WAY, SMD, 25MA","MCDM(R)-02-T","SW2","../../10005011 Power Management/10005011 USB HOST.sch","MULTICOMP                       (920630)","MCDM(R)-02-T","~"
"10022933","10005011_Power_Management:IRLML5103TRPBF","Transistor:IRLML5103TRPBF","AllModules:SOT23-GSD_1","","RSPTRANSISTOR MOSFET, P CHANNEL, 30V,0.6A","IRLML5103","T2,T6,T11,T16,T31","../../10005011 Power Management/10005011 PIC-Micro.sch","INTERNATIONAL RECTIFIER_RMS1","IRLML5103TRPBF","https://www.infineon.com/dgdl/irlml5103pbf.pdf?fileId=5546d462533600a401535668505d2617"
"10022946","Device:D_TVS","Diode:D_TVS_10022946","AllModules:R0603_1","","VARISTOR, CMS PROTECTION ESD SURGE SUPPRESSOR,C0603","82356050050","PG1,PG2,PG3,PG4,PG5,PG6","../../10005011 Power Management/10005011 FTDI.sch","WURTH ELEKTRONIK GMBH","82356050050","https://katalog.we-online.de/pbs/datasheet/82356050050.pdf"
"10039579","Device:C","Capacitor:C_10uF_10%","AllModules:C0805-AIROX-KEMET-C0805C106KA3","","CAPACITOR CERAMIC, 10UF,+/-10%,16V","0.01uF","C2,C45","../../10005011 Power Management/10005011 FTDI.sch","KEMET_RMS1","C0805C106K4PAC","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"10039581","Device:C","Capacitor:C_10uF_50V_10%","AllModules:C2220_1","","CAPACITOR CERAMIC, 10UF,+/-10%,50V 2220","10uF","C10,C11,C14,C20,C26,C27,C28,C40,C41,C43,C51,C60,C66,C67,C73,C114,C136,C137,C138","../../10005011 Power Management/10005011 Connectors-FAN.sch","AVX","22205C106K4Z4A","https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf?ref_disty=digikey"
"10039582","Device:C","Capacitor:C_4u7F_10%","AllModules:C1210_1","","CAPACITOR CERAMIC, 4.7UF,+/-10%,50V","4.7uF","C21,C29,C90,C134,C135","../../10005011 Power Management/10005011 Const-I-Gen.sch","KEMET","C1210C475K5RACAUTO","https://api.kemet.com/component-edge/download/specsheet/C1210C475K5RACAUTO.pdf"
"10039583","Device:C","Capacitor:C_22uF_25V_10%","AllModules:C2220_1","","CAPACITOR CERAMIC, 22UF,+/-10%,25V 2220","22uF","C107","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","KEMET_RMS1","C2220X226K3RAC","~"
"10039584","Device:C","Capacitor:C1210_22uF_16V_10%","AllModules:C1210_1","","CAPACITOR CERAMIC, 22UF,+/-10%,16V 1210","22uF","C34,C65","../../10005011 Power Management/10005011 FTDI.sch","JOHANSON DIELECTRICS_RMS1","160S41X226KV4E","~"
"10039585","Device:C","Capacitor:C1206_100uF_20%","AllModules:RC1206-AIROX-KEMET-C1206C107A6","","CAPACITOR CERAMIC, 100UF,+/-20%,6.3V 1206","100uF","C89","../../10005011 Power Management/10005011 USB HOST.sch","KEMET_RMS1","C1206C107M9PAC","~"
"10039586","10005011_Power_Management:PMEG4005ET","Diode:PMEG4005ET","AllModules:SOT23-1G_1","","DIODE SCHOTTKY, 40V, 500MA","PMEG4005ET","D8,D9","../../10005011 Power Management/10005011 Const-I-Gen.sch","PHILIPS","PMEG4005ET","https://assets.nexperia.com/documents/data-sheet/PMEGXX05ET_SER.pdf"
"10039587","Device:Ferrite_Bead_Small","Inductor:Ferrite_Bead_Small_10039587","AllModules:C0805-AIROX-MURATA-BLM21PG221D","","FERRITE, SMD, 220OHM 0805","MH2029-221Y","L1,L7,L10,L24,L25,L26","../../10005011 Power Management/10005011 FTDI.sch","MURATA_RMS1","BLM21PG221SH1D","https://www.bourns.com/docs/Product-Datasheets/mh.pdf"
"10039588","10005011_Power_Management:DLP31SN551ML2L","Inductor:DLP31SN551ML2L","AllModules:DLP31S-AIROX_1","","COMMON MODE CHOKE COIL 550OHM","DLP31SN551ML2L","L8,L9,L11","../../10005011 Power Management/10005011 FTDI.sch","MURATA_RMS1","DLP31SN551ML2L","https://www.murata.com/en-eu/products/productdata/8796756410398/EFLE0007.pdf"
"10052332","Connector_Generic:Conn_02x13_Odd_Even","Connector:Conn_02x13_Odd_Even","AllModules:BP2X13D_1","","HEADER CONNECTOR, VERTICAL, 26 PINS","CPU BOARD","J7","../../10005011 Power Management/10005011 Connectors-FAN.sch","FCI/BERG","75869-105LF","~"
"Item Number","Old Library","New Library", "Footprint",            "Footprint.3dshapes","Description",            "Value","References","Sch File",            "Manufacturer","Manufacturer_No","Documentation"
"10022135","Blower_Driver_Components:Capacitor_100nF","Capacitor:C0805_100nF_50V_10%","AllModules:C0805_1","","CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805","Capacitor_100nF","C1,C3,C5,C6,C9,C12,C15,C19,C21,C24,C25,C26","../../10096315 Blower Driver//ctrb0505-A.sch","YAGEO_RMS1","CC0805KRX7R9BB104","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"10022506","Blower_Driver_Components:Capacitor_100uF_CheckFootprint","Capacitor:C_100uF_50V_20%","AllModules:C-SC8_1","","CAPACITOR,100UF,+/-20%,50V SMD","Capacitor_100uF_CheckFootprint","ZC2","../../10096315 Blower Driver//ctrb0505-A.sch","NICHICON_RMS1","UWT1H101MNL1GS","https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf"
"10022507","Blower_Driver_Components:Capacitor_2.2nF","Capacitor:C0603_2n2F_50V_10%","AllModules:C0603_1","","CAPACITOR CERAMIC, 2.2NF, +/-10%,50V, X7R, 0603","Capacitor_2.2nF","C7,C11,C14,C17","../../10096315 Blower Driver//ctrb0505-A.sch","YAGEO_RMS1","CC0603JRX7R9BB222","https://api.kemet.com/component-edge/download/datasheet/C0603C222K5RAC7411.pdf"
"10022508","Blower_Driver_Components:Capacitor_10nF","Capacitor:C0603_10nF_50V_10%","AllModules:C0603_1","","CAPACITOR CERAMIC,10NF,+/-10%,50V,0603","Capacitor_10nF","C8,C20","../../10096315 Blower Driver//ctrb0505-A.sch","YAGEO_RMS1","223858615636","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"10022509","Blower_Driver_Components:Capacitor_220nF","Capacitor:C1206_220nF_50V_10%","AllModules:RC1206_1","","CAPACITOR,220NF,+/-10% ,50V, X7R,1206","Capacitor_220nF","C10,C13,C16","../../10096315 Blower Driver//ctrb0505-A.sch","KEMET_RMS1","C1206C224K5RACTU","https://api.kemet.com/component-edge/download/datasheet/C1206C224K5RACTU.pdf"
"10022510","Blower_Driver_Components:Capacitor_330nF","Capacitor:C0805_330nF_16V_10%","AllModules:C0805_1","","CAPACITOR,330NF,+/-10%,16V,0805,X7R","Capacitor_330nF","C18","../../10096315 Blower Driver//ctrb0505-A.sch","YAGEO_RMS1","CC0805JKX7R7BB334","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"10022514","Blower_Driver_Components:DiodeZener_30V","Diode:DiodeZener_30V_10022514","AllModules:SMB_1","","DIODE ZENER, 3W-600W,30V,SMB","DiodeZener_30V","D1,D18,D19,D20,D21,D22,D23","../../10096315 Blower Driver//ctrb0505-A.sch","VISHAY","BZG03C30-HM3-08","http://www.vishay.com/docs/86138/bzg03c-m-series.pdf"
"10022515","Blower_Driver_Components:DiodeSchottky","Diode:DiodeSchottky","AllModules:SOD323_1","","DIODE SCHOTTKY, 500MA,40V,SOD323","DiodeSchottky","D2,D3,D4,D5,D6,D7","../../10096315 Blower Driver//ctrb0505-A.sch","NXP SEMICONDUCTORS_RMS1","PMEG4005AEA,115","https://assets.nexperia.com/documents/data-sheet/PMEG4005AEA.pdf"
"10022517","Blower_Driver_Components:DiodeZener_30V","Diode:DiodeZener_30V_10022517","AllModules:SOD80_1","","DIODE ZENER, 15V, 500MW,SOD80","DiodeZener_15V","D11,D12,D13","../../10096315 Blower Driver//ctrb0505-A.sch","NXP SEMICONDUCTORS_RMS1","BZV55-C15","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf"
"10022518","Blower_Driver_Components:DiodeSchottkySeriesPair","Diode:DiodeSchottkySeriesPair","AllModules:SOT23-1G_1","","DIODE SCHOTTKY, 200MA,30V,SOD23DIO","DiodeSchottkySeriesPair","D14,D15,D16,D24","../../10096315 Blower Driver//ctrb0505-A.sch","NXP SEMICONDUCTORS_RMS1","BAT54S,215","https://www.mouser.com/datasheet/2/916/BAT54W_SER-1598288.pdf"
"10022519","Blower_Driver_Components:DiodeSchottkyParallelPair","Diode:DiodeSchottkyParallelPair","AllModules:DPAK-2ANODES_1","","DIODE SCHOTTKY, 15A, 45V,TO-252","DiodeSchottkyParallelPair","D17","../../10096315 Blower Driver//ctrb0505-A.sch","ST MICROELECTRONIC","STPS15L45CB-TR","https://www.st.com/content/ccc/resource/technical/document/datasheet/b7/c8/02/28/2f/f6/47/20/CD00002833.pdf/files/CD00002833.pdf/jcr:content/translations/en.CD00002833.pdf"
"10022531","Blower_Driver_Components:Fuse_5A","Fuse:Fuse_5A","AllModules:FU154000_1","","FUSE 5A + SUPPORT CMS","Fuse_5A","F1","../../10096315 Blower Driver//ctrb0505-A.sch","LITTELFUSE_RMS1","0154005.DR","https://www.mouser.com/datasheet/2/240/Littelfuse_Fuse_154_154T_154L_154TL_Datasheet.pdf-365375.pdf"
"10022533","Blower_Driver_Components:FerriteBead","Inductor:FerriteBead","AllModules:C0603_1","","FILTER, 1K, 100MHZ, 0.8OHM, 50MA, 0603","FerriteBead","FI3,FI4,FI5,FI6,FI7,FI8,FI9","../../10096315 Blower Driver//ctrb0505-A.sch","WURTH ELEKTRONIK GMBH","74279266","https://katalog.we-online.de/pbs/datasheet/74279266.pdf"
"10022534","Blower_Driver_Components:MotorDriver","IC:MotorDriver","AllModules:MX.A24_COMPOSANT_1","","IC BRUSHLESS DC MOTOR CONTROLLER","MotorDriver","IC1","../../10096315 Blower Driver//ctrb0505-A.sch","ON SEMICONDUCTOR_RMS1","MC33035DWR2G","https://www.onsemi.com/pub/Collateral/MC33035-D.PDF"
"10022536","Blower_Driver_Components:HighSideDriver","IC:HighSideDriver","AllModules:MX.A8_COMPOSANT_1","","SINGLE CHANNEL MOSFET DRIVER","HighSideDriver","IC3,IC4,IC5","../../10096315 Blower Driver//ctrb0505-A.sch","INFINEON_RMS1","IR2118SPBF","https://www.infineon.com/dgdl/ir2117.pdf?fileId=5546d462533600a4015355c84331168d"
"10022537","Blower_Driver_Components:LinearRegulator","IC:LinearRegulator","AllModules:DPAK_1b","","IC, VOLTAGE REGULATOR, 15V,500MA,DPACK","LinearRegulator","IC6","../../10096315 Blower Driver//ctrb0505-A.sch","STMICROELECTRONICS","L78M15CDT","https://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf"
"10022538","Blower_Driver_Components:2pinConnector_Power","Connector:2pinConnector_Power","AllModules:MOL43650-02C_1","","CONNECTOR, 2 CONTACTS,MICROFIT 3.0","2pinConnector_Power","J1","../../10096315 Blower Driver//ctrb0505-A.sch","MOLEX_RMS1","436500212","http://www.farnell.com/datasheets/2363851.pdf"
"10022541","Blower_Driver_Components:JumperBypass","Connector:JumperBypass","AllModules:JUMPER2_NoCopper_1","","COPPER WIRE, SWG20 DIA: 0.91","JumperBypass","J4","../../10096315 Blower Driver//ctrb0505-A.sch","RS COMPONENTS LIMITED","355063","http://www.farnell.com/datasheets/2363851.pdf"
"10022542","Blower_Driver_Components:2pinConnector","Connector:2pinConnector","AllModules:MOL7395-2_1","","CONNECTOR, O2 VALVE, 2 CONTACTS","2pinConnector","J3","../../10096315 Blower Driver//ctrb0505-A.sch","MOLEX_RMS1","22057028","https://www.molex.com/pdm_docs/sd/022057028_sd.pdf"
"10022543","Blower_Driver_Components:8pinConnector","Connector:8pinConnector","AllModules:MOL7395-8_1","","CONNECTOR,8 CONTACTS, 2.54PIN PITCH","8pinConnector","J6","../../10096315 Blower Driver//ctrb0505-A.sch","MOLEX_RMS1","22057088","https://www.mouser.com/datasheet/2/276/0022057088_PCB_HEADERS-158435.pdf"
